8.8.8.8,10ms,Wed Dec  4 14:51:03 2019
8.8.8.8,8ms,Wed Dec  4 14:51:18 2019
8.8.8.8,8ms,Wed Dec  4 14:51:33 2019
8.8.8.8,8ms,Wed Dec  4 14:51:48 2019
8.8.8.8,8ms,Wed Dec  4 14:52:03 2019
8.8.8.8,9ms,Wed Dec  4 14:52:18 2019
8.8.8.8,9ms,Wed Dec  4 14:52:33 2019
8.8.8.8,9ms,Wed Dec  4 14:52:48 2019
8.8.8.8,8ms,Wed Dec  4 14:53:03 2019
8.8.8.8,9ms,Wed Dec  4 14:53:18 2019
8.8.8.8,9ms,Wed Dec  4 14:53:33 2019
8.8.8.8,15ms,Wed Dec  4 14:53:48 2019
8.8.8.8,8ms,Wed Dec  4 14:54:03 2019
8.8.8.8,36ms,Wed Dec  4 14:54:18 2019
8.8.8.8,8ms,Wed Dec  4 14:54:33 2019
8.8.8.8,8ms,Wed Dec  4 14:54:48 2019
8.8.8.8,8ms,Wed Dec  4 14:55:04 2019
8.8.8.8,8ms,Wed Dec  4 14:55:19 2019
8.8.8.8,9ms,Wed Dec  4 14:55:34 2019
8.8.8.8,8ms,Wed Dec  4 14:55:49 2019
8.8.8.8,8ms,Wed Dec  4 14:56:04 2019
8.8.8.8,9ms,Wed Dec  4 14:56:19 2019
8.8.8.8,8ms,Wed Dec  4 14:56:34 2019
8.8.8.8,8ms,Wed Dec  4 14:56:49 2019
8.8.8.8,8ms,Wed Dec  4 14:57:04 2019
8.8.8.8,9ms,Wed Dec  4 14:57:19 2019
8.8.8.8,9ms,Wed Dec  4 14:57:34 2019
8.8.8.8,9ms,Wed Dec  4 14:57:49 2019
8.8.8.8,8ms,Wed Dec  4 14:58:04 2019
8.8.8.8,8ms,Wed Dec  4 14:58:19 2019
8.8.8.8,8ms,Wed Dec  4 14:58:34 2019
8.8.8.8,8ms,Wed Dec  4 14:58:49 2019
8.8.8.8,8ms,Wed Dec  4 14:59:04 2019
8.8.8.8,8ms,Wed Dec  4 14:59:19 2019
8.8.8.8,15ms,Wed Dec  4 14:59:34 2019
8.8.8.8,11ms,Wed Dec  4 14:59:49 2019
8.8.8.8,10ms,Wed Dec  4 15:00:04 2019
8.8.8.8,8ms,Wed Dec  4 15:00:19 2019
8.8.8.8,8ms,Wed Dec  4 15:00:34 2019
8.8.8.8,9ms,Wed Dec  4 15:00:49 2019
8.8.8.8,8ms,Wed Dec  4 15:01:04 2019
8.8.8.8,289ms,Wed Dec  4 15:01:19 2019
8.8.8.8,69ms,Wed Dec  4 15:01:35 2019
8.8.8.8,8ms,Wed Dec  4 15:01:50 2019
8.8.8.8,9ms,Wed Dec  4 15:02:05 2019
8.8.8.8,9ms,Wed Dec  4 15:02:20 2019
8.8.8.8,9ms,Wed Dec  4 15:02:35 2019
8.8.8.8,9ms,Wed Dec  4 15:02:50 2019
8.8.8.8,8ms,Wed Dec  4 15:03:05 2019
8.8.8.8,12ms,Wed Dec  4 15:03:20 2019
8.8.8.8,14ms,Wed Dec  4 15:03:35 2019
8.8.8.8,8ms,Wed Dec  4 15:03:50 2019
8.8.8.8,8ms,Wed Dec  4 15:04:05 2019
8.8.8.8,56ms,Wed Dec  4 15:04:20 2019
8.8.8.8,8ms,Wed Dec  4 15:04:35 2019
8.8.8.8,8ms,Wed Dec  4 15:04:50 2019
8.8.8.8,10ms,Wed Dec  4 15:05:05 2019
8.8.8.8,8ms,Wed Dec  4 15:05:20 2019
8.8.8.8,8ms,Wed Dec  4 15:05:35 2019
8.8.8.8,8ms,Wed Dec  4 15:05:50 2019
8.8.8.8,16ms,Wed Dec  4 15:06:05 2019
8.8.8.8,10ms,Wed Dec  4 15:06:20 2019
8.8.8.8,8ms,Wed Dec  4 15:06:35 2019
8.8.8.8,8ms,Wed Dec  4 15:06:50 2019
8.8.8.8,8ms,Wed Dec  4 15:07:05 2019
8.8.8.8,8ms,Wed Dec  4 15:07:20 2019
8.8.8.8,10ms,Wed Dec  4 15:07:35 2019
8.8.8.8,43ms,Wed Dec  4 15:07:50 2019
8.8.8.8,9ms,Wed Dec  4 15:08:05 2019
8.8.8.8,13ms,Wed Dec  4 15:08:20 2019
8.8.8.8,16ms,Wed Dec  4 15:08:35 2019
8.8.8.8,9ms,Wed Dec  4 15:08:50 2019
8.8.8.8,8ms,Wed Dec  4 15:09:06 2019
8.8.8.8,9ms,Wed Dec  4 15:09:21 2019
8.8.8.8,8ms,Wed Dec  4 15:09:36 2019
8.8.8.8,24ms,Wed Dec  4 15:09:51 2019
8.8.8.8,8ms,Wed Dec  4 15:10:06 2019
8.8.8.8,8ms,Wed Dec  4 15:10:21 2019
8.8.8.8,8ms,Wed Dec  4 15:10:36 2019
8.8.8.8,14ms,Wed Dec  4 15:10:51 2019
8.8.8.8,13ms,Wed Dec  4 15:11:06 2019
8.8.8.8,33ms,Wed Dec  4 15:11:21 2019
8.8.8.8,279ms,Wed Dec  4 15:11:36 2019
8.8.8.8,18ms,Wed Dec  4 15:11:51 2019
8.8.8.8,14ms,Wed Dec  4 15:12:06 2019
8.8.8.8,31ms,Wed Dec  4 15:12:21 2019
8.8.8.8,16ms,Wed Dec  4 15:12:36 2019
8.8.8.8,12ms,Wed Dec  4 15:12:51 2019
8.8.8.8,17ms,Wed Dec  4 15:13:06 2019
8.8.8.8,11ms,Wed Dec  4 15:13:21 2019
8.8.8.8,8ms,Wed Dec  4 15:13:36 2019
8.8.8.8,8ms,Wed Dec  4 15:13:51 2019
8.8.8.8,22ms,Wed Dec  4 15:14:06 2019
8.8.8.8,9ms,Wed Dec  4 15:14:21 2019
8.8.8.8,15ms,Wed Dec  4 15:14:37 2019
8.8.8.8,24ms,Wed Dec  4 15:14:52 2019
8.8.8.8,18ms,Wed Dec  4 15:15:07 2019
8.8.8.8,8ms,Wed Dec  4 15:15:22 2019
8.8.8.8,9ms,Wed Dec  4 15:15:37 2019
8.8.8.8,8ms,Wed Dec  4 15:15:52 2019
8.8.8.8,27ms,Wed Dec  4 15:16:07 2019
8.8.8.8,14ms,Wed Dec  4 15:16:22 2019
8.8.8.8,9ms,Wed Dec  4 15:16:37 2019
8.8.8.8,16ms,Wed Dec  4 15:16:52 2019
8.8.8.8,13ms,Wed Dec  4 15:17:07 2019
8.8.8.8,10ms,Wed Dec  4 15:17:22 2019
8.8.8.8,28ms,Wed Dec  4 15:17:37 2019
8.8.8.8,8ms,Wed Dec  4 15:17:52 2019
